name,type,period_name,period_start,period_end
abelisaurus,large theropod,Late Cretaceous,74,70
achelousaurus,ceratopsian,Late Cretaceous,83,70
achillobator,large theropod,Late Cretaceous,99,84
acrocanthosaurus,large theropod,Early Cretaceous,115,105
aegyptosaurus,sauropod,Late Cretaceous,98,93
afrovenator,large theropod,Early Cretaceous,132,121
agilisaurus,euornithopod,Late Jurassic,169,159
alamosaurus,sauropod,Late Cretaceous,70,65
albertaceratops,ceratopsian,Late Cretaceous,80,75
albertosaurus,large theropod,Late Cretaceous,76,74
alectrosaurus,large theropod,Late Cretaceous,90,70
alioramus,large theropod,Late Cretaceous,71,65
allosaurus,large theropod,Late Jurassic,156,144
alvarezsaurus,small theropod,Late Cretaceous,89,85
amargasaurus,sauropod,Early Cretaceous,132,127
ammosaurus,sauropod,Early Jurassic,195,180
ampelosaurus,sauropod,Late Cretaceous,71,65
amygdalodon,sauropod,Mid Jurassic,177,169
anchiceratops,ceratopsian,Late Cretaceous,74,70
anchisaurus,sauropod,Early Jurassic,190,190
ankylosaurus,armoured dinosaur,Late Cretaceous,74,67
anserimimus,large theropod,Late Cretaceous,84,65
antarctosaurus,sauropod,Late Cretaceous,84,65
apatosaurus,sauropod,Late Jurassic,154,145
aragosaurus,sauropod,Early Cretaceous,132,121
aralosaurus,euornithopod,Late Cretaceous,94,84
archaeoceratops,ceratopsian,Early Cretaceous,121,99
archaeopteryx,small theropod,Late Jurassic,147,147
archaeornithomimus,small theropod,Late Cretaceous,95,70
argentinosaurus,sauropod,Late Cretaceous,90,90
arrhinoceratops,ceratopsian,Late Cretaceous,72,67
atlascopcosaurus,euornithopod,Early Cretaceous,121,97
aucasaurus,large theropod,Late Cretaceous,84,71
austrosaurus,sauropod,Early Cretaceous,112,99
avaceratops,ceratopsian,Late Cretaceous,80,75
avimimus,small theropod,Late Cretaceous,80,75
bactrosaurus,euornithopod,Late Cretaceous,84,71
bagaceratops,ceratopsian,Late Cretaceous,85,80
bambiraptor,small theropod,Late Cretaceous,84,71
barapasaurus,sauropod,Early Jurassic,185,170
barosaurus,sauropod,Late Jurassic,155,145
baryonyx,large theropod,Early Cretaceous,125,125
becklespinax,large theropod,Early Cretaceous,142,132
beipiaosaurus,small theropod,Early Cretaceous,127,121
bellusaurus,sauropod,Mid Jurassic,180,159
borogovia,small theropod,Late Cretaceous,84,65
brachiosaurus,sauropod,Late Jurassic,155,140
brachylophosaurus,euornithopod,Late Cretaceous,89,88
brachytrachelopan,sauropod,Mid Jurassic,150,150
buitreraptor,small theropod,Late Cretaceous,99,90
camarasaurus,sauropod,Late Jurassic,150,140
camptosaurus,euornithopod,Late Jurassic,155,145
carcharodontosaurus,large theropod,Late Cretaceous,98,94
carnotaurus,large theropod,Late Cretaceous,70,70
caudipteryx,small theropod,Early Cretaceous,125,122
cedarpelta,armoured dinosaur,Early Cretaceous,142,127
centrosaurus,ceratopsian,Late Cretaceous,76,74
ceratosaurus,large theropod,Late Jurassic,153,148
cetiosauriscus,sauropod,Mid Jurassic,175,160
cetiosaurus,sauropod,Mid Jurassic,170,160
chaoyangsaurus,ceratopsian,Late Jurassic,152,145
chasmosaurus,ceratopsian,Late Cretaceous,76,74
chindesaurus,small theropod,Late Triassic,227,210
chinshakiangosaurus,sauropod,Late Jurassic,159,142
chirostenotes,small theropod,Late Jurassic,79,67
chubutisaurus,sauropod,Early Cretaceous,112,99
chungkingosaurus,armoured dinosaur,Late Jurassic,159,142
citipati,small theropod,Late Cretaceous,81,75
coelophysis,small theropod,Late Triassic,225,190
coelurus,small theropod,Late Jurassic,155,145
coloradisaurus,sauropod,Late Triassic,221,210
compsognathus,small theropod,Late Jurassic,145,140
conchoraptor,small theropod,Late Cretaceous,81,76
confuciusornis,small theropod,Early Cretaceous,127,121
corythosaurus,euornithopod,Late Cretaceous,76,74
cryolophosaurus,large theropod,Early Jurassic,170,170
dacentrurus,armoured dinosaur,Late Jurassic,154,150
daspletosaurus,large theropod,Late Cretaceous,76,74
datousaurus,sauropod,Mid Jurassic,170,170
deinocheirus,large theropod,Late Cretaceous,70,66
deinonychus,small theropod,Early Cretaceous,120,110
deltadromeus,large theropod,Late Cretaceous,99,94
dicraeosaurus,sauropod,Late Jurassic,150,135
dilophosaurus,large theropod,Early Jurassic,190,190
diplodocus,sauropod,Late Jurassic,155,145
dromaeosaurus,small theropod,Late Cretaceous,76,74
dromiceiomimus,large theropod,Late Cretaceous,74,70
dryosaurus,euornithopod,Late Jurassic,155,140
dryptosaurus,large theropod,Late Cretaceous,84,65
dubreuillosaurus,large theropod,Late Jurassic,169,164
edmontonia,armoured dinosaur,Late Cretaceous,76,74
edmontosaurus,euornithopod,Late Cretaceous,76,65
einiosaurus,ceratopsian,Late Cretaceous,74,74
elaphrosaurus,large theropod,Late Jurassic,154,151
emausaurus,armoured dinosaur,Mid Jurassic,190,180
eolambia,euornithopod,Late Cretaceous,99,94
